类别	问 句
定义类	简 述 信 道 服 务 单 元 / 数 据 服 务 单 元 的 定 义 。
定义类	简 述 成 簇 的 服 务 器 的 定 义 。
定义类	简 述 约 定 信 息 速 率 的 定 义 。
定义类	简 述 用 户 前 提 设 备 的 定 义 。
定义类	简 述 数 据 电 路 端 接 设 备 的 定 义 。
定义类	简 述 数 据 终 端 设 备 的 定 义 。
定义类	简 述 分 界 点 的 定 义 。
定义类	简 述 拒 绝 服 务 攻 击 的 定 义 。
定义类	简 述 数 字 数 据 业 务 的 定 义 。
定义类	简 述 D S 的 定 义 。
定义类	简 述 部 分 T 1 的 定 义 。
定义类	简 述 帧 中 继 的 定 义 。
定义类	简 述 入 侵 检 测 系 统 的 定 义 。
定义类	简 述 最 后 一 英 里 的 定 义 。
定义类	简 述 线 路 调 节 的 定 义 。
定义类	简 述 本 地 环 路 的 定 义 。
定义类	简 述 多 路 复 用 的 定 义 。
定义类	简 述 光 载 波 的 定 义 。
定义类	简 述 分 组 装 配 / 拆 卸 的 定 义 。
定义类	简 述 永 久 虚 电 路 的 定 义 。
定义类	简 述 主 速 率 接 口 的 定 义 。
定义类	简 述 公 共 数 据 网 络 的 定 义 。
定义类	简 述 交 换 式 5 6 K 的 定 义 。
定义类	简 述 交 换 式 多 兆 比 特 数 据 服 务 的 定 义 。
定义类	简 述 交 换 虚 电 路 的 定 义 。
定义类	简 述 同 步 光 网 络 的 定 义 。
定义类	简 述 T 1 的 定 义 。
定义类	简 述 T 3 的 定 义 。
定义类	简 述 T e l c o 的 定 义 。
定义类	简 述 虚 电 路 的 定 义 。
定义类	简 述 基 准 的 定 义 。
定义类	简 述 线 缆 测 试 仪 的 定 义 。
定义类	简 述 数 字 电 压 表 的 定 义 。
定义类	简 述 管 理 信 息 库 的 定 义 。
定义类	简 述 M i c r o s o f t 开 发 者 网 络 的 定 义 。
定义类	简 述 M i c r o s o f t 知 识 库 的 定 义 。
定义类	简 述 M i c r o s o f t 技 术 信 息 网 络 的 定 义 。
定义类	简 述 网 络 监 控 器 的 定 义 。
定义类	简 述 示 波 器 的 定 义 。
定义类	简 述 抢 先 式 故 障 解 决 的 定 义 。
定义类	简 述 协 议 分 析 仪 的 定 义 。
定义类	简 述 远 程 监 控 的 定 义 。
定义类	简 述 短 路 的 定 义 。
定义类	简 述 软 件 代 理 的 定 义 。
定义类	简 述 结 构 化 故 障 解 决 方 案 的 定 义 。
定义类	简 述 时 域 反 射 仪 的 定 义 。
定义类	简 述 故 障 解 决 的 定 义 。
定义类	简 述 d a e m o n 的 定 义 。
定义类	简 述 防 火 墙 的 定 义 。
定义类	简 述 超 文 本 标 记 语 言 的 定 义 。
定义类	简 述 超 文 本 传 输 协 议 的 定 义 。
定义类	简 述 I n t e r n e t 浏 览 器 的 定 义 。
定义类	简 述 I n t e r n e t 服 务 提 供 商 的 定 义 。
定义类	简 述 网 络 新 闻 的 定 义 。
定义类	简 述 网 络 新 闻 传 输 协 议 的 定 义 。
定义类	简 述 新 闻 组 的 定 义 。
定义类	简 述 代 理 服 务 器 的 定 义 。
定义类	简 述 滚 动 速 率 的 定 义 。
定义类	简 述 搜 索 引 擎 的 定 义 。
定义类	简 述 T e l n e t   d a e m o n 的 定 义 。
定义类	简 述 统 一 资 源 定 位 器 的 定 义 。
定义类	名 词 解 释 ： 广 域 网 的 定 义 。
定义类	名 词 解 释 ： 域 域 网 的 定 义 。
定义类	名 词 解 释 ： 局 域 网 的 定 义 。
定义类	名 词 解 释 ： 通 信 子 网 的 定 义 。
定义类	名 词 解 释 ： 资 源 子 网 的 定 义 。
定义类	名 词 解 释 ： 计 算 机 网 络 的 定 义 。
定义类	名 词 解 释 ： 分 布 式 系 统 的 定 义 。
定义类	名 词 解 释 ： 公 用 数 据 网 的 定 义 。
定义类	名 词 解 释 ： 通 信 控 制 处 理 机 的 定 义 。
定义类	名 词 解 释 ： 基 带 传 输 的 定 义 。
定义类	名 词 解 释 ： 频 带 传 输 的 定 义 。
定义类	名 词 解 释 ： 线 路 交 换 的 定 义 。
定义类	名 词 解 释 ： 数 据 报 的 定 义 。
定义类	名 词 解 释 ： 虚 电 路 的 定 义 。
定义类	名 词 解 释 ： 单 工 通 信 的 定 义 。
定义类	名 词 解 释 ： 半 双 工 通 信 的 定 义 。
定义类	名 词 解 释 ： 全 双 工 通 信 的 定 义 。
定义类	名 词 解 释 ： 光 缆 的 定 义 。
定义类	名 词 解 释 ： 移 频 键 控 的 定 义 。
定义类	名 词 解 释 ： 调 制 解 调 器 的 定 义 。
定义类	名 词 解 释 ： 曼 彻 斯 特 编 码 的 定 义 。
定义类	名 词 解 释 ： 频 分 多 路 复 用 的 定 义 。
定义类	名 词 解 释 ： 误 码 率 的 定 义 。
定义类	名 词 解 释 ： 调 制 的 定 义 。
定义类	名 词 解 释 ： 时 分 多 路 复 用 的 定 义 。
定义类	名 词 解 释 ： O S I 参 考 模 型 的 定 义 。
定义类	名 词 解 释 ： 网 络 体 系 结 构 的 定 义 。
定义类	名 词 解 释 ： 通 信 协 议 的 定 义 。
定义类	名 词 解 释 ： 接 口 的 定 义 。
定义类	名 词 解 释 ： 数 据 链 路 层 的 定 义 。
定义类	名 词 解 释 ： 网 络 层 的 定 义 。
定义类	名 词 解 释 ： 传 输 层 的 定 义 。
定义类	名 词 解 释 ： 应 用 层 的 定 义 。
定义类	名 词 解 释 ： 网 络 协 议 的 定 义 。
定义类	名 词 解 释 ： 帧 的 定 义 。
定义类	名 词 解 释 ： 以 太 网 的 定 义 。
定义类	名 词 解 释 ： 令 牌 总 线 网 的 定 义 。
定义类	名 词 解 释 ： 令 牌 环 网 的 定 义 。
定义类	名 词 解 释 ： 快 速 以 太 网 的 定 义 。
定义类	名 词 解 释 ： 千 兆 位 以 太 网 的 定 义 。
定义类	名 词 解 释 ： 交 换 式 局 域 网 的 定 义 。
定义类	名 词 解 释 ： C S M A / C D 的 定 义 。
定义类	名 词 解 释 ： 1 0 0 B A S E - T X 的 定 义 。
定义类	名 词 解 释 ： 交 换 机 的 定 义 。
定义类	名 词 解 释 ： 局 域 网 交 换 技 术 的 定 义 。
定义类	名 词 解 释 ： 以 太 网 的 定 义 。
定义类	名 词 解 释 ： I E E E   8 0 2 . 2 的 定 义 。
定义类	名 词 解 释 ： 基 本 服 务 集 的 定 义 。
定义类	名 词 解 释 ： 虚 拟 局 域 网 的 定 义 。
定义类	名 词 解 释 ： 双 绞 线 的 定 义 。
定义类	名 词 解 释 ： 网 卡 的 定 义 。
定义类	名 词 解 释 ： 集 线 器 的 定 义 。
定义类	名 词 解 释 ： 局 域 网 交 换 机 的 定 义 。
定义类	名 词 解 释 ： 中 继 器 的 定 义 。
定义类	名 词 解 释 ： 结 构 化 布 线 系 统 的 定 义 。
定义类	名 词 解 释 ： 垂 直 竖 井 系 统 的 定 义 。
定义类	名 词 解 释 ： 网 络 操 作 系 统 的 定 义 。
定义类	名 词 解 释 ： 对 等 结 构 的 定 义 。
定义类	名 词 解 释 ： 非 对 等 结 构 的 定 义 。
定义类	名 词 解 释 ： 文 件 服 务 器 的 定 义 。
定义类	名 词 解 释 ： 打 印 机 服 务 器 的 定 义 。
定义类	名 词 解 释 ： 网 络 管 理 的 定 义 。
定义类	名 词 解 释 ： N o v e l l 网 的 定 义 。
定义类	名 词 解 释 ： N e t W a r e 的 第 二 级 容 错 机 制 的 定 义 。
定义类	名 词 解 释 ： N e t W a r e 的 第 三 级 容 错 的 定 义 。
定义类	名 词 解 释 ： 网 关 的 定 义 。
定义类	名 词 解 释 ： 路 由 器 的 定 义 。
定义类	名 词 解 释 ： 网 桥 的 定 义 。
定义类	名 词 解 释 ： 多 协 议 路 由 器 的 定 义 。
定义类	名 词 解 释 ： 互 操 作 的 定 义 。
定义类	名 词 解 释 ： 互 连 的 定 义 。
定义类	名 词 解 释 ： 高 层 互 连 的 定 义 。
定义类	名 词 解 释 ： I n t e r n e t 的 定 义 。
定义类	名 词 解 释 ： I n t r a n e t 的 定 义 。
定义类	名 词 解 释 ： 电 子 邮 件 的 定 义 。
定义类	名 词 解 释 ： 文 件 传 输 的 定 义 。
定义类	名 词 解 释 ： 网 络 新 闻 组 的 定 义 。
定义类	名 词 解 释 ： 浏 览 器 的 定 义 。
定义类	名 词 解 释 ： 搜 索 引 擎 的 定 义 。
定义类	名 词 解 释 ： 电 子 商 务 的 定 义 。
定义类	名 词 解 释 ： 下 载 的 定 义 。
定义类	名 词 解 释 ： T C P / I P 协 议 的 定 义 。
定义类	名 词 解 释 ： W W W 服 务 的 定 义 。
定义类	名 词 解 释 ： I P 地 址 的 定 义 。
定义类	名 词 解 释 ： W W W 浏 览 器 的 定 义 。
定义类	名 词 解 释 ： 调 制 解 调 器 的 定 义 。
定义类	名 词 解 释 ： 保 护 方 式 的 定 义 。
定义类	名 词 解 释 ： 跟 踪 方 式 的 定 义 。
定义类	名 词 解 释 ： 网 络 访 问 点 的 定 义 。
定义类	名 词 解 释 ： 防 火 墙 的 定 义 。
定义类	名 词 解 释 ： 分 组 路 由 器 的 定 义 。
定义类	名 词 解 释 ： 应 用 网 关 的 定 义 。
定义类	名 词 解 释 ： 性 能 管 理 的 定 义 。
定义类	名 词 解 释 ： 故 障 管 理 的 定 义 。
定义类	名 词 解 释 ： 身 份 认 证 服 务 的 定 义 。
定义类	名 词 解 释 ： 安 全 管 理 功 能 的 定 义 。
定义类	名 词 解 释 ： 信 息 篡 改 的 定 义 。
定义类	名 词 解 释 ： 电 路 交 换 的 定 义 。
定义类	名 词 解 释 ： 报 文 交 换 的 定 义 。
定义类	名 词 解 释 ： 分 组 交 换 的 定 义 。
定义类	名 词 解 释 ： 广 播 式 网 络 的 定 义 。
定义类	名 词 解 释 ： 点 到 点 网 络 的 定 义 。
定义类	名 词 解 释 ： 网 络 硬 件 的 定 义 。
定义类	名 词 解 释 ： 网 络 软 件 的 定 义 。
定义类	名 词 解 释 ： 协 议 的 定 义 。
定义类	名 词 解 释 ： 服 务 的 定 义 。
定义类	名 词 解 释 ： 语 法 的 定 义 。
定义类	名 词 解 释 ： 语 义 的 定 义 。
定义类	名 词 解 释 ： 同 步 的 定 义 。
定义类	名 词 解 释 ： 应 用 层 的 定 义 。
定义类	名 词 解 释 ： 运 输 层 的 定 义 。
定义类	名 词 解 释 ： 网 络 层 的 定 义 。
定义类	名 词 解 释 ： 数 据 链 路 层 的 定 义 。
定义类	名 词 解 释 ： 物 理 层 的 定 义 。
定义类	名 词 解 释 ： 透 明 的 定 义 。
定义类	名 词 解 释 ： 协 议 栈 的 定 义 。
定义类	名 词 解 释 ： 实 体 的 定 义 。
定义类	名 词 解 释 ： 对 等 层 的 定 义 。
定义类	名 词 解 释 ： 协 议 数 据 单 元 的 定 义 。
定义类	名 词 解 释 ： 服 务 访 问 点 的 定 义 。
定义类	名 词 解 释 ： 客 户 - 服 务 器 方 式 的 定 义 。
定义类	名 词 解 释 ： 带 宽 的 定 义 。
定义类	名 词 解 释 ： 发 送 时 延 的 定 义 。
定义类	名 词 解 释 ： 传 播 时 延 的 定 义 。
定义类	名 词 解 释 ： 排 队 时 延 的 定 义 。
定义类	名 词 解 释 ： 往 返 时 延 的 定 义 。
定义类	名 词 解 释 ： 中 继 器 的 定 义 。
定义类	名 词 解 释 ： 网 桥 的 定 义 。
定义类	名 词 解 释 ： 路 由 器 的 定 义 。
定义类	名 词 解 释 ： 源 点 的 定 义 。
定义类	名 词 解 释 ： 发 送 器 的 定 义 。
定义类	名 词 解 释 ： 接 收 器 的 定 义 。
定义类	名 词 解 释 ： 终 点 的 定 义 。
定义类	名 词 解 释 ： 数 据 的 定 义 。
定义类	名 词 解 释 ： 信 号 的 定 义 。
定义类	名 词 解 释 ： 模 拟 数 据 的 定 义 。
定义类	名 词 解 释 ： 模 拟 信 号 的 定 义 。
定义类	名 词 解 释 ： 数 字 数 据 的 定 义 。
定义类	名 词 解 释 ： 数 字 信 号 的 定 义 。
定义类	名 词 解 释 ： 单 工 通 信 的 定 义 。
定义类	名 词 解 释 ： 半 双 工 通 信 的 定 义 。
定义类	名 词 解 释 ： 全 双 工 通 信 的 定 义 。
定义类	名 词 解 释 ： 机 械 特 性 的 定 义 。
定义类	名 词 解 释 ： 电 气 特 性 的 定 义 。
定义类	名 词 解 释 ： 功 能 特 性 的 定 义 。
定义类	名 词 解 释 ： 规 程 特 性 的 定 义 。
定义类	名 词 解 释 ： 双 绞 线 的 定 义 。
定义类	名 词 解 释 ： 同 轴 电 缆 的 定 义 。
定义类	名 词 解 释 ： 光 导 纤 维 的 定 义 。
定义类	名 词 解 释 ： 无 线 电 微 波 通 信 的 定 义 。
定义类	名 词 解 释 ： 曼 彻 斯 特 编 码 的 定 义 。
定义类	名 词 解 释 ： 数 字 传 输 系 统 的 定 义 。
定义类	名 词 解 释 ： R S - 2 3 2 - C 的 定 义 。
定义类	名 词 解 释 ： R S - 4 4 9 的 定 义 。
定义类	名 词 解 释 ： R S - 4 2 3 - A 的 定 义 。
定义类	名 词 解 释 ： R S - 4 2 2 - A 的 定 义 。
定义类	名 词 解 释 ： F D M 的 定 义 。
定义类	名 词 解 释 ： T D M 的 定 义 。
定义类	名 词 解 释 ： S T D M 的 定 义 。
定义类	名 词 解 释 ： W D M 的 定 义 。
定义类	名 词 解 释 ： D W D M 的 定 义 。
定义类	名 词 解 释 ： C D M A 的 定 义 。
定义类	名 词 解 释 ： S O N E T 的 定 义 。
定义类	名 词 解 释 ： S D H 的 定 义 。
定义类	名 词 解 释 ： S T M - 1 的 定 义 。
定义类	名 词 解 释 ： O C - 4 8 的 定 义 。
定义类	名 词 解 释 ： D T E 的 定 义 。
定义类	名 词 解 释 ： D C E 的 定 义 。
定义类	名 词 解 释 ： E I A 的 定 义 。
定义类	名 词 解 释 ： I T U - T 的 定 义 。
定义类	名 词 解 释 ： C C I T T 的 定 义 。
定义类	名 词 解 释 ： I S O 的 定 义 。
定义类	名 词 解 释 ： 信 息 帧 的 定 义 。
定义类	名 词 解 释 ： 监 控 帧 的 定 义 。
定义类	名 词 解 释 ： 无 编 号 帧 的 定 义 。
定义类	名 词 解 释 ： 1 0 B A S E 5 的 定 义 。
定义类	名 词 解 释 ： 1 0 B A S E 2 的 定 义 。
定义类	名 词 解 释 ： 1 0 B A S E - T 的 定 义 。
定义类	名 词 解 释 ： 1 B A S E 5 的 定 义 。
定义类	名 词 解 释 ： 1 0 B R O A D 3 6 的 定 义 。
定义类	名 词 解 释 ： F O M A U 的 定 义 。
定义类	名 词 解 释 ： S I F S 的 定 义 。
定义类	名 词 解 释 ： P I F S 的 定 义 。
定义类	名 词 解 释 ： D I F S 的 定 义 。
定义类	名 词 解 释 ： B S S 的 定 义 。
定义类	名 词 解 释 ： E S S 的 定 义 。
定义类	名 词 解 释 ： A P 的 定 义 。
定义类	名 词 解 释 ： B S A 的 定 义 。
定义类	名 词 解 释 ： P o r t a l 的 定 义 。
定义类	名 词 解 释 ： D C F 的 定 义 。
定义类	名 词 解 释 ： P C F 的 定 义 。
定义类	名 词 解 释 ： N A V 的 定 义 。
定义类	名 词 解 释 ： 直 接 死 锁 的 定 义 。
定义类	名 词 解 释 ： 重 装 死 锁 的 定 义 。
定义类	名 词 解 释 ： D L C I 的 定 义 。
定义类	名 词 解 释 ： 本 地 意 义 的 定 义 。
定义类	名 词 解 释 ： 丢 外 策 略 的 定 义 。
定义类	名 词 解 释 ： 拥 塞 避 免 的 定 义 。
定义类	名 词 解 释 ： 拥 塞 恢 复 的 定 义 。
定义类	名 词 解 释 ： P M D 子 层 的 定 义 。
定义类	名 词 解 释 ： T C 子 层 的 定 义 。
定义类	名 词 解 释 ： A T M 层 的 定 义 。
定义类	名 词 解 释 ： A A L 层 的 定 义 。
定义类	名 词 解 释 ： 虚 通 路 V C 的 定 义 。
定义类	名 词 解 释 ： 虚 通 道 V P 的 定 义 。
定义类	名 词 解 释 ： G F C 的 定 义 。
定义类	名 词 解 释 ： P T 的 定 义 。
定义类	名 词 解 释 ： C L P 的 定 义 。
定义类	名 词 解 释 ： H E C 的 定 义 。
